Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
0.png,0.0,0.0,0.0,0.6,8,pier,Vgg
0.png,0.06664954411198151,0.0,0.0,0.6,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.6,1,pier,Vgg
0.png,0.040016,0.0,0.0,0.7,0,pier,Vgg
0.png,0.12215495715594517,0.0,0.0,0.7,0.1,pier,Vgg
0.png,0.14233881417916894,0.0,0.0,0.7,0.2,pier,Vgg
0.png,0.13691183353133887,0.0,0.0,0.7,0.3,pier,Vgg
0.png,0.13743522711358014,0.0,0.0,0.7,0.4,pier,Vgg
0.png,0.18193146417445483,0.0,0.0,0.7,0.5,pier,Vgg
0.png,0.20097619455386195,0.0,0.0,0.7,0.6,pier,Vgg
0.png,0.21214868540344514,0.0,0.0,0.7,0.7,pier,Vgg
0.png,0.040016,0.0,0.0,0.7,0,pier,Vgg
0.png,0.0,0.0,0.0,0.7,8,pier,Vgg
0.png,0.06664954411198151,0.0,0.0,0.7,0.9,pier,Vgg
0.png,0.0,0.0,0.0,0.7,1,pier,Vgg
