Image,IOULG,IOULD,IOUDG,threshold_DT,threshold_GC,prediction,models
1.png,0.04708502346297622,0.19080041168553558,0.07578309195015157,0.1,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.19080041168553558,0.058692421991084695,0.1,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.19080041168553558,0.03463035019455253,0.1,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.19080041168553558,0.0,0.1,0.9,hair_slide,Vgg
1.png,0.0,0.19080041168553558,0.0,0.1,1,hair_slide,Vgg
1.png,0.873125,0.054915361996344274,0.041666666666666664,0.2,0,hair_slide,Vgg
1.png,0.5846748681898066,0.054915361996344274,0.055667724257282954,0.2,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.054915361996344274,0.07191448007774538,0.2,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.054915361996344274,0.07025246981339188,0.2,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.054915361996344274,0.07534516765285997,0.2,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.054915361996344274,0.08301474604041507,0.2,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.054915361996344274,0.0815686274509804,0.2,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.054915361996344274,0.07916666666666666,0.2,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.054915361996344274,0.06356968215158924,0.2,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.054915361996344274,0.0,0.2,0.9,hair_slide,Vgg
1.png,0.0,0.054915361996344274,0.0,0.2,1,hair_slide,Vgg
1.png,0.873125,0.017176938369781312,0.008333333333333333,0.3,0,hair_slide,Vgg
1.png,0.5846748681898066,0.017176938369781312,0.011399682791435368,0.3,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.017176938369781312,0.014807162534435262,0.3,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.017176938369781312,0.016094088517486844,0.3,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.017176938369781312,0.02235965746907707,0.3,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.017176938369781312,0.027496382054992764,0.3,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.017176938369781312,0.03225806451612903,0.3,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.017176938369781312,0.03917525773195876,0.3,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.017176938369781312,0.03869047619047619,0.3,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.017176938369781312,0.0,0.3,0.9,hair_slide,Vgg
1.png,0.0,0.017176938369781312,0.0,0.3,1,hair_slide,Vgg
1.png,0.873125,0.005806092420265648,0.0,0.4,0,hair_slide,Vgg
1.png,0.5846748681898066,0.005806092420265648,0.0,0.4,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.005806092420265648,0.0,0.4,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.005806092420265648,0.0,0.4,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.005806092420265648,0.0,0.4,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.005806092420265648,0.0,0.4,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.005806092420265648,0.0,0.4,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.005806092420265648,0.0,0.4,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.005806092420265648,0.0,0.4,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.005806092420265648,0.0,0.4,0.9,hair_slide,Vgg
1.png,0.0,0.005806092420265648,0.0,0.4,1,hair_slide,Vgg
1.png,0.873125,0.00254513640340412,0.0,0.5,0,hair_slide,Vgg
1.png,0.5846748681898066,0.00254513640340412,0.0,0.5,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.00254513640340412,0.0,0.5,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.00254513640340412,0.0,0.5,0.3,hair_slide,Vgg
1.png,0.15127654497733237,0.00254513640340412,0.0,0.5,0.4,hair_slide,Vgg
1.png,0.09369283385031417,0.00254513640340412,0.0,0.5,0.5,hair_slide,Vgg
1.png,0.04708502346297622,0.00254513640340412,0.0,0.5,0.6,hair_slide,Vgg
1.png,0.021395052891115884,0.00254513640340412,0.0,0.5,0.7,hair_slide,Vgg
1.png,0.009385190487552693,0.00254513640340412,0.0,0.5,0.8,hair_slide,Vgg
1.png,0.00063628410085103,0.00254513640340412,0.0,0.5,0.9,hair_slide,Vgg
1.png,0.0,0.00254513640340412,0.0,0.5,1,hair_slide,Vgg
1.png,0.873125,0.0007953551260637875,0.0,0.6,0,hair_slide,Vgg
1.png,0.5846748681898066,0.0007953551260637875,0.0,0.6,0.1,hair_slide,Vgg
1.png,0.37188464724041864,0.0007953551260637875,0.0,0.6,0.2,hair_slide,Vgg
1.png,0.237017099430019,0.0007953551260637875,0.0,0.6,0.3,hair_slide,Vgg
